Id,SkillTypeBackendName,BackendName,NameAr,NameEn,DescriptionAr,DescriptionEn,DisplayOrder,IsActive
4D0FB4BD-F748-5B0C-A12F-10E3CEF49440,SOFT,TEAMWORK,العمل الجماعي,Teamwork,قدرة عملية على تطبيق العمل الجماعي في السياق المهني.,Practical ability to apply teamwork in a professional context.,1,true
903DA356-AD5B-5183-8E93-ECA8508A6241,SOFT,ADAPTABILITY,المرونة والتكيف,Adaptability,قدرة عملية على تطبيق المرونة والتكيف في السياق المهني.,Practical ability to apply adaptability in a professional context.,2,true
A803ECD7-B219-5EBE-A049-4B41437BEB13,SOFT,TIME_MANAGEMENT,إدارة الوقت,Time Management,قدرة عملية على تطبيق إدارة الوقت في السياق المهني.,Practical ability to apply time management in a professional context.,3,true
9D1579FC-3A3B-5944-AA8F-8E0011B77594,SOFT,ATTENTION_TO_DETAIL,الانتباه للتفاصيل,Attention to Detail,قدرة عملية على تطبيق الانتباه للتفاصيل في السياق المهني.,Practical ability to apply attention to detail in a professional context.,4,true
1DAB2BA2-6A80-545D-BBA1-B046EE99971E,SOFT,SELF_MANAGEMENT,الإدارة الذاتية,Self-Management,قدرة عملية على تطبيق الإدارة الذاتية في السياق المهني.,Practical ability to apply self-management in a professional context.,5,true
9579BF43-46CE-579A-A46F-E91EE06B2F3E,SOFT,RESILIENCE,المرونة المهنية,Professional Resilience,قدرة عملية على تطبيق المرونة المهنية في السياق المهني.,Practical ability to apply professional resilience in a professional context.,6,true
3166F708-E530-5EA1-832F-E6A463C03350,SOFT,PROFESSIONAL_ETHICS,أخلاقيات المهنة,Professional Ethics,قدرة عملية على تطبيق أخلاقيات المهنة في السياق المهني.,Practical ability to apply professional ethics in a professional context.,7,true
2038DED3-DFB0-5A46-8645-1AAC7A9906E0,SOFT,CONTINUOUS_LEARNING,التعلم المستمر,Continuous Learning,قدرة عملية على تطبيق التعلم المستمر في السياق المهني.,Practical ability to apply continuous learning in a professional context.,8,true
C40FF4D6-A042-514A-8313-77C656DBBBC3,COMMUNICATION,VERBAL_COMMUNICATION,التواصل الشفهي,Verbal Communication,قدرة عملية على تطبيق التواصل الشفهي في السياق المهني.,Practical ability to apply verbal communication in a professional context.,1,true
ABF8D155-E4B7-5194-B057-C1DF40A63DAE,COMMUNICATION,WRITTEN_COMMUNICATION,التواصل الكتابي,Written Communication,قدرة عملية على تطبيق التواصل الكتابي في السياق المهني.,Practical ability to apply written communication in a professional context.,2,true
76E685CE-8C06-5F2A-A6BB-004FCD9FE024,COMMUNICATION,PRESENTATION_SKILLS,مهارات العرض والتقديم,Presentation Skills,قدرة عملية على تطبيق مهارات العرض والتقديم في السياق المهني.,Practical ability to apply presentation skills in a professional context.,3,true
A71C1E8A-A941-582F-B969-F19C547CB528,COMMUNICATION,ACTIVE_LISTENING,الاستماع الفعال,Active Listening,قدرة عملية على تطبيق الاستماع الفعال في السياق المهني.,Practical ability to apply active listening in a professional context.,4,true
6BCC5FC7-C6C7-5A8F-A25B-D34AADF78463,COMMUNICATION,NEGOTIATION,التفاوض,Negotiation,قدرة عملية على تطبيق التفاوض في السياق المهني.,Practical ability to apply negotiation in a professional context.,5,true
10A91B0F-B008-5F5F-BD7B-30F8A4BBE034,COMMUNICATION,STAKEHOLDER_COMMUNICATION,التواصل مع أصحاب المصلحة,Stakeholder Communication,قدرة عملية على تطبيق التواصل مع أصحاب المصلحة في السياق المهني.,Practical ability to apply stakeholder communication in a professional context.,6,true
F0C23DB9-4D0A-56B8-8B30-6982FF61A395,COMMUNICATION,CUSTOMER_SERVICE,خدمة العملاء,Customer Service,قدرة عملية على تطبيق خدمة العملاء في السياق المهني.,Practical ability to apply customer service in a professional context.,7,true
